,Frequency,Blood (Refractive index),Blood (absorption coefficient),SKin (Refractive index),Skin (absorption coefficient),Fat (Refractive index),Fat (absorption coefficient),Blood Path Loss(dB) node = 10.0,Skin Path Loss(dB) node = 10.0,Fat Path Loss(dB) node = 10.0,Blood Path Loss(dB) node = 9.0,Skin Path Loss(dB) node = 9.0,Fat Path Loss(dB) node = 9.0,Blood Path Loss(dB) node = 8.0,Skin Path Loss(dB) node = 8.0,Fat Path Loss(dB) node = 8.0
0,0.2,2.7108,11.7758,2.48780295744146,7.24000454775348,2.0305,4.0489,824.981697374096,539.8290227087275,336.7339134089926,775.7358494618392,509.09996159442437,319.03211579958696,726.4050695973317,478.2859685278708,301.24538623793114
1,0.4,2.2105,16.0218,2.24613900229821,9.49048056157432,1.9319,5.8964,1099.0166881948253,690.8362297894623,463.4500831475407,1032.437105203053,650.9198971192538,438.20611041816227,965.7725902590302,610.9186324967949,412.8772057365336
2,0.6,2.0427,18.6761,2.16565690914813,11.7369545891425,1.8659,8.0317,1270.6845907807726,837.7369046444966,603.4281394361853,1193.2691780618316,788.6496379995167,569.4670860390515,1115.7688333906403,739.4774394022866,535.4211006896676
3,0.8,1.9573,20.9721,2.11138663865768,14.2405314272339,1.8101,10.0315,1418.5284313180523,998.8632818888186,732.9625601546879,1331.7399013728827,939.5554929492823,690.8375869713991,1244.8664394754628,880.1627720574957,648.6276818358599
4,1,1.9013,23.1726,2.06501206875079,16.8460529408516,1.7649,11.7077,1559.5163229918955,1165.2990361018333,841.2265371857656,1463.7445419769017,1095.35454917336,792.2586985431542,1367.8878290096575,1025.325130292636,743.2059279482924
5,1.2,1.8588,25.3088,2.02337458589066,19.3949054525323,1.7295,13.0432,1695.8853950609216,1327.5136054749814,927.5618459611796,1591.3928592468553,1247.163764285031,873.1420046810993,1486.815391480539,1166.7289911428304,818.6372314487687
6,1.4,1.8239,27.3544,1.98605048101556,21.7815100778663,1.7021,14.0876,1826.1625631013865,1479.1224843253008,995.277408354496,1713.3191350408163,1389.0296444742376,936.5939417995578,1600.3907750279955,1298.851872670924,877.8255432923696
7,1.6,1.794,29.2782,1.95296886901,23.9514653049556,1.6809,14.8994,1948.5064818925175,1616.8559033804927,1048.148035951455,1827.8093940236636,1517.9045074670705,986.1505029486718,1707.0273742025597,1418.8681796013984,924.0680379936383
8,1.8,1.7681,31.0583,1.92394733689803,25.8870866229654,1.6644,15.5355,2061.6245736500678,1739.6925893387265,1089.8034497178644,1933.6604622731957,1632.8392746451243,1025.2091223476577,1805.6114189440736,1525.9010279992717,960.5298630252008
9,2,1.7454,32.6847,1.89866753346034,27.5931946323274,1.6514,16.0376,2164.9428617046387,1847.9903930568867,1122.8980656142123,2030.3391868013127,1734.1721173997141,1056.2539812059877,1895.6505799457364,1620.268909790291,989.5249648455127
